timestamp,value,obis,id,source
2019-07,0.0000,1-1:6.8.1,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,0.0000,1-1:6.8.2,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,0.0000,1-1:7.8.1,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,0.0000,1-1:7.8.2,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,0.0000,1-1:8.8.1,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,0.0000,1-1:8.8.2,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,0.0000,8-1:1.8.0,5442313,EdmRegisterWertExport_20190731_eslevu_20190726150757.xml
2019-07-02T10:45:00,0.0000,1-1:1.6.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-07-11T05:15:00,0.0000,1-1:1.6.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-07-13T12:15:00,0.0000,1-1:2.6.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-07-13T12:15:00,0.0000,1-1:2.6.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,144125.8000,1-1:1.8.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,163225.9000,1-1:1.8.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,81697.1000,1-1:2.8.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,85800.5000,1-1:2.8.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,1-1:5.8.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,1-1:5.8.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,1-1:6.8.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,1-1:6.8.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,1-1:7.8.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,1-1:7.8.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,1-1:8.8.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,1-1:8.8.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-08,0.0000,8-1:1.8.0,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
